zip_code_prefix,state,lat,lng,zip_code_prefix_1_digits,zip_code_prefix_2_digits,zip_code_prefix_3_digits,zip_code_prefix_4_digits,x,y
01232,SP,-23.536428003530187,-46.657426011378035,0,01,012,0123,-5193880.90531144,-2697020.7297042967
01233,SP,-23.53624654014997,-46.66166521796583,0,01,012,0123,-5194352.8116301615,-2696998.696265358
01234,SP,-23.539689562251557,-46.66424403546398,0,01,012,0123,-5194639.884280904,-2697416.756138883
01235,SP,-23.53671427686228,-46.66466630391698,0,01,012,0123,-5194686.89099007,-2697055.4893191005
01236,SP,-23.543550224431343,-46.66741941090643,0,01,012,0123,-5194993.365458235,-2697885.5398730338
01237,SP,-23.543234451012324,-46.66872440228904,0,01,012,0123,-5195138.636434437,-2697847.196337451
01238,SP,-23.54257139685113,-46.65424333104065,0,01,012,0123,-5193526.610956924,-2697766.683714569
01239,SP,-23.54309527008478,-46.63105919621764,0,01,012,0123,-5190945.764873945,-2697830.2959927917
01240,SP,-23.54379184344285,-46.65854396252987,0,01,012,0124,-5194005.355064394,-2697914.879096167
01241,SP,-23.54552478660238,-46.657840193083345,0,01,012,0124,-5193927.011807972,-2698125.3078511823
01242,SP,-23.546506947085877,-46.65850174642453,0,01,012,0124,-5194000.655589044,-2698244.571394521
01243,SP,-23.54812030499438,-46.65919184884557,0,01,012,0124,-5194077.47743915,-2698440.4830437126
01244,SP,-23.562049127976646,-46.65959031403357,0,01,012,0124,-5194121.834380977,-2700131.973818501
01245,SP,-23.549475523846695,-46.663821074182955,0,01,012,0124,-5194592.800446475,-2698605.0504695205
01246,SP,-23.55348129524968,-46.666318477031005,0,01,012,0124,-5194870.810059826,-2699091.490670157
01247,SP,-23.55063807285042,-46.66865580450114,0,01,012,0124,-5195131.0001636185,-2698746.222892464
01248,SP,-23.54791252484105,-46.6680263133255,0,01,012,0124,-5195060.925526487,-2698415.251958974
01249,SP,-23.548419892449086,-46.67122044555848,0,01,012,0124,-5195416.494700189,-2698476.862509805
01250,SP,-23.547640483076,-46.67197263354334,0,01,012,0125,-5195500.227883644,-2698382.217541627
01251,SP,-23.548374516404742,-46.67484647170288,0,01,012,0125,-5195820.142084186,-2698471.3524063723
01252,SP,-23.54175397547087,-46.67893404000763,0,01,012,0125,-5196275.1681064535,-2697667.427314843
01253,SP,-23.54492912635292,-46.679164692087,0,01,012,0125,-5196300.84417848,-2698052.9773848997
01254,SP,-23.543337420255035,-46.68085240293401,0,01,012,0125,-5196488.719290575,-2697859.6996115996
01255,SP,-23.54636983531918,-46.68154172682528,0,01,012,0125,-5196565.454475143,-2698227.92188769
01256,SP,-23.547773256174622,-46.682838349154586,0,01,012,0125,-5196709.7938125925,-2698398.340358755
01257,SP,-23.54360983905433,-46.68783857511076,0,01,012,0125,-5197266.416419885,-2697892.77873021
01258,SP,-23.54403701732507,-46.68685091247139,0,01,012,0125,-5197156.470317796,-2697944.6500339205
01259,SP,-23.541418553843297,-46.685303896769355,0,01,012,0125,-5196984.257317595,-2697626.698508354
01262,SP,-23.550856391462712,-46.67735184892536,0,01,012,0126,-5196099.039400838,-2698772.7342302673
01290,SP,-23.54096134139296,-46.65774870275258,0,01,012,0129,-5193916.827150937,-2697571.181333057
